"codigo","descritor_do_codigo","fase_corrente_ano","fase_corrente_desc","fase_intermediaria_ano","fase_intermediaria_desc","destinacao_final_ano","destinacao_final_desc","observacoes_ano","observacoes_desc"
"000","ADMINISTRAÇÃO GERAL","","","","","","","",""
"001","RELAÇÃO INTERINSTITUCIONAL","","Enquanto vigora","","20 anos","","Guarda permanente","",""
"002","ATENDIMENTO AO CIDADÃO","","","","","","","",""
"002.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"002.1","ACESSO À INFORMAÇÃO","","","","","","","",""
"002.11","PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO","","Até o término do atendimento*","","5 anos","","Eliminação","","* Aguardar o resultado do provimento do recurso em última instância, no caso de indeferimento do pedido de acesso."
"002.12","ACOMPANHAMENTO DO ATENDIMENTO AO CIDADÃO","","2 anos","","–","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros."
"002.2","CONTROLE DE SATISFAÇÃO DO USUÁRIO","","2 anos","","–","","Eliminação","",""
"003","CONTROLE E FISCALIZAÇÃO DA GESTÃO PÚBLICA","","","","","","Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros.","",""
"003.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"003.1","CONTROLE INTERNO. AUDITORIA INTERNA","","5 anos","","9 anos","","Guarda permanente","",""
"003.2","AÇÃO PREVENTIVA","","5 anos","","9 anos","","Guarda permanente","",""
"003.3","CORREIÇÃO","","5 anos","","9anos","","Guarda permanente","",""
"004","ASSESSORAMENTO JURÍDICO","","","","","","","",""
"004.1","ORIENTAÇÃO TÉCNICA E NORMATIVA","","","","","","","",""
"004.11","UNIFORMIZAÇÃO DO ENTENDIMENTO JURÍDICO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"004.12","ANÁLISE DOS INSTRUMENTOS ADMINISTRATIVOS","","Até o término da análise","","5 anos","","Eliminação","",""
"004.2","ATUAÇÃO EM CONTENCIOSO","","","","","","","",""
"004.21","REPRESENTAÇÃO EXTRAJUDICIAL","","Até a solução do litígio","","5 anos","","Guarda permanente","",""
"004.22","REPRESENTAÇÃO JUDICIAL","","Até o trânsito em julgado","","5 anos","","Guarda permanente","",""
"005","PARTICIPAÇÃO EM ÓRGÃOS COLEGIADOS","","","","","","","",""
"005.1","CRIAÇÃO E ATUAÇÃO","","4 anos","","5 anos","","Guarda permanente","",""
"005.2","OPERACIONALIZAÇÃO DE REUNIÕES","","2 anos","","–","","Eliminação","",""
"010","ORGANIZAÇÃO E FUNCIONAMENTO","","","","","","","",""
"010.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"011","ORGANIZAÇÃO ADMINISTRATIVA","","Enquanto vigora","","5 anos","","Guarda permanente","","Eliminar, após 2 anos, os estudos preliminares ou as versões não implementadas das mudanças estruturais."
"012","HABILITAÇÃO JURÍDICA E REGULARIZAÇÃO FISCAL","","Enquanto vigora","","2 anos","","Eliminação","",""
"013","COORDENAÇÃO E GESTÃO DE REUNIÕES","","","","","","","",""
"013.1","OPERACIONALIZAÇÃO","","2 anos","","–","","Eliminação","",""
"013.2","REGISTRO DE DELIBERAÇÕES","","4 anos","","5 anos","","Guarda permanente","",""
"014","PREENCHIMENTO DE FUNÇÃO DE DIREÇÃO","","","","","","","",""
"014.1","NOMEAÇÃO E ATUAÇÃO DA COMISSÃO ELEITORAL","","Até a homologação do evento","","1 ano","","Guarda permanente","",""
"014.2","INSCRIÇÃO","","Até a homologação do evento","","1 ano","","Eliminação","",""
"014.3","VOTAÇÃO","","Até a homologação do evento","","1 ano","","Guarda permanente","","Eliminar, após 2 anos da homologação do evento, as cédulas de votação."
"014.4","DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS","","Até a homologação do evento","","1 ano","","Guarda permanente","","* Aguardar o término da ação, no caso de interposição de recursos. Eliminar, após 2 anos da homologação do evento, os documentos de recursos indeferidos."
"015","GESTÃO INSTITUCIONAL","","","","","","","",""
"015.1","PLANEJAMENTO INSTITUCIONAL","","5 anos","","9 anos","","Guarda permanente","",""
"015.2","ACOMPANHAMENTO DAS ATIVIDADES","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"015.3","AVALIAÇÃO DA GESTÃO INSTITUCIONAL","","","","","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.","",""
"015.31","ELABORAÇÃO DOS INSTRUMENTOS DE AVALIAÇÃO","","5 anos","","9 anos","","Guarda permanente","",""
"015.32","EXECUÇÃO E ACOMPANHAMENTO","","5 anos","","9 anos","","Guarda permanente","",""
"015.33","CERTIFICAÇÃO DA CONFORMIDADE","","5 anos","","9 anos","","Guarda permanente","",""
"016","GESTÃO DE PROCESSOS","","","","","","","",""
"016.1","PLANEJAMENTO DO MAPEAMENTO DE PROCESSOS","","5 anos","","9 anos","","Guarda permanente","",""
"016.2","EXECUÇÃO E ACOMPANHAMENTO","","5 anos","","9 anos","","Eliminação","",""
"016.3","RESULTADO","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"016.4","MODELAGEM DE PROCESSOS","","5 anos","","9 anos","","Guarda permanente","",""
"016.5","GERENCIAMENTO DE DESEMPENHO","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"017","GESTÃO AMBIENTAL","","","","","","","",""
"017.1","PROTEÇÃO AMBIENTAL INTERNA","","Enquanto vigora o evento","","2 anos","","Eliminação","","Arquivar um exemplar do material de divulgação produzido para cada evento."
"017.2","PROTEÇÃO AMBIENTAL EXTERNA","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"018","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da aprovação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão Eliminar, após 2 anos, os documentos referentes às contratações não efetivadas."
"019","OUTRAS AÇÕES REFERENTES À ORGANIZAÇÃO E FUNCIONAMENTO","","","","","","","",""
"019.1","COMUNICAÇÃO SOCIAL","","","","","","","",""
"019.11","COMUNICAÇÃO EXTERNA","","","","","","","",""
"019.111","CREDENCIAMENTO DE JORNALISTAS","","Enquanto vigora","","1 ano","","Eliminação","",""
"019.112","RELAÇÃO COM A IMPRENSA","","1 ano","","–","","Eliminação","","Arquivar os documentos cujas informações reflitam a política do órgão ou entidade."
"019.113","ELABORAÇÃO DE CAMPANHAS PUBLICITÁRIAS","","4 anos","","10 anos","","Guarda permanente","",""
"019.12","COMUNICAÇÃO INTERNA","","2 anos","","–","","Eliminação","","Arquivar os documentos cujas informações reflitam a política do órgão ou entidade."
"019.2","AÇÃO DE RESPONSABILIDADE SOCIAL","","5 anos","","9 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"020","GESTÃO DE PESSOAS","","","","","","","",""
"020.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"020.02","IMPLEMENTAÇÃO DAS POLÍTICAS DE PESSOAL","","","","","","","",""
"020.021","PLANEJAMENTO DA FORÇA DE TRABALHO. PREVISÃO DE PESSOAL","","5 anos","","5 anos","","Guarda permanente","",""
"020.022","CRIAÇÃO, EXTINÇÃO, CLASSIFICAÇÃO, TRANSFORMAÇÃO E TRANSPOSIÇÃO DE CARGOS E DE CARREIRAS","","5 anos","","5 anos","","Guarda permanente","",""
"020.03","RELACIONAMENTO COM ENTIDADES REPRESENTATIVAS DE CLASSES","","","","","","","",""
"020.031","RELAÇÃO COM SINDICATOS","","5 anos","","5 anos","","Guarda permanente","",""
"020.032","MOVIMENTOS REIVINDICATÓRIOS. GREVES. PARALISAÇÕES","","5 anos","","5 anos","","Guarda permanente","",""
"020.033","RELAÇÃO COM CONSELHOS PROFISSIONAIS","","2 anos","","–","","","","Eliminação"
"020.1","ASSENTAMENTO FUNCIONAL","","","","","","","",""
"020.11","SERVIDORES E EMPREGADOS PÚBLICOS","","Enquanto o servidor mantiver o vínculo com a administração pública","","*","","Eliminação","","* Transferir os documentos para fase intermediária após o  término  do  vínculo,  sendo  o  prazo  total  de  guarda  dos documentos de 100 anos."
"020.12","SERVIDORES TEMPORÁRIOS","","Enquanto o servidor mantiver o vínculo com a administração pública","","*","","Eliminação","","* Transferir os documentos para fase intermediária após o  término  do  vínculo,  sendo  o  prazo  total  de  guarda  dos documentos de 100 anos."
"020.13","RESIDENTES E ESTAGIÁRIOS","","Enquanto o servidor mantiver o vínculo com a administração pública","","*","","Eliminação","","* Transferir os documentos para fase intermediária após o término do vínculo, sendo o prazo total de guarda dos documentos de 100 anos."
"020.14","OCUPANTES DE CARGO COMISSIONADO E DE FUNÇÃO DE CONFIANÇA","","Enquanto o servidor mantiver o vínculo com a administração pública","","*","","Eliminação","","* Transferir os documentos para fase intermediária após o término do vínculo, sendo o prazo total de guarda dos documentos de 100 anos."
"020.2","IDENTIFICAÇÃO FUNCIONAL","","Enquanto o servidor mantiver o vínculo com a administração pública","","–","","Eliminação","",""
"021","RECRUTAMENTO E SELEÇÃO","","","","","","","",""
"021.1","PLANEJAMENTO DO PROCESSO SELETIVO","","Até a homologação do evento","","2 anos","","Guarda permanente","",""
"021.2","INSCRIÇÃO","","Até a homologação do evento*","","2 anos","","Eliminação","","* Aguardar o término da ação, no caso de interposição de recursos."
"021.3","CONTROLE DE APLICAÇÃO DE PROVAS","","Até a homologação do evento*","","2 anos","","Eliminação","","* Aguardar o término da ação, no caso de interposição de recursos."
"021.4","CORREÇÃO DE PROVAS. AVALIAÇÃO","","Até a homologação do evento*","","2 anos","","Eliminação","","* Aguardar o término da ação, no caso de interposição de recursos."
"021.5","DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS","","Até a homologação do evento*","","2 anos","","Guarda permanente","","* Aguardar o término da ação, no caso de interposição de recursos. Eliminar, após 2 anos da homologação do evento, os documentos de recursos indeferidos."
"022","PROVIMENTO, MOVIMENTAÇÃO E VACÂNCIA","","","","","","","",""
"022.1","PROVIMENTO DE CARGO PÚBLICO","","5 anos","","52 anos","","Eliminação","",""
"022.2","MOVIMENTAÇÃO DE PESSOAL","","","","","","","",""
"022.21","LOTAÇÃO, EXERCÍCIO E PERMUTA","","4 anos","","5 anos","","Eliminação","",""
"022.22","CESSÃO. REQUISIÇÃO","","5 anos","","52 anos","","Eliminação","",""
"022.3","REMOÇÃO","","4 anos","","5 anos","","Eliminação","",""
"022.4","REDISTRIBUIÇÃO","","5 anos","","52 anos","","Eliminação","",""
"022.5","SUBSTITUIÇÃO","","5 anos","","52 anos","","Eliminação","",""
"022.6","AVALIAÇÃO DE DESEMPENHO","","","","","","","",""
"022.61","CUMPRIMENTO DE ESTÁGIO PROBATÓRIO. HOMOLOGAÇÃO DA ESTABILIDADE.","","5 anos","","52 anos","","Eliminação","",""
"022.62","CUMPRIMENTO DE PERÍODO DE EXPERIÊNCIA","","5 anos","","52 anos","","Eliminação","",""
"022.63","PROMOÇÃO E PROGRESSÃO FUNCIONAL","","5 anos","","52 anos","","Eliminação","",""
"022.7","VACÂNCIA","","5 anos","","52 anos","","Eliminação","",""
"023","CONCESSÃO DE DIREITOS E VANTAGENS","","","","","","","",""
"023.1","PAGAMENTO DE VENCIMENTOS. REMUNERAÇÕES. SALÁRIOS. PROVENTOS","","","","","","","",""
"023.11","FOLHAS DE PAGAMENTO","","5 anos","","95 anos","","Eliminação","",""
"023.12","REESTRUTURAÇÃO E ALTERAÇÃO SALARIAL","","5 anos","","52 anos","","Eliminação","",""
"023.13","ABONO PROVISÓRIO","","7 anos","","–","","Eliminação","",""
"023.14","ABONO DE PERMANÊNCIA EM SERVIÇO","","Até a homologação da aposentadoria","","–","","Eliminação","",""
"023.15","GRATIFICAÇÕES","","","","","","","",""
"023.151","FUNÇÃO","","5 anos","","52 anos","","Eliminação","",""
"023.152","JETONS","","7 anos","","–","","Eliminação","",""
"023.153","CARGOS EM COMISSÃO","","5 anos","","52 anos","","Eliminação","",""
"023.154","NATALINA. DÉCIMO TERCEIRO SALÁRIO","","7 anos","","–","","Eliminação","",""
"023.155","DESEMPENHO","","5 anos","","52 anos","","Eliminação","",""
"023.156","ENCARGO DE CURSO E CONCURSO","","7 anos","","–","","Eliminação","",""
"023.157","TITULAÇÃO","","5 anos","","52 anos","","Eliminação","",""
"023.16","ADICIONAIS","","","","","","","",""
"023.161","TEMPO DE SERVIÇO","","5 anos","","52 anos","","Eliminação","",""
"023.162","NOTURNO","","5 anos","","52 anos","","Eliminação","",""
"023.163","PERICULOSIDADE","","5 anos","","52 anos","","Eliminação","",""
"023.164","INSALUBRIDADE","","5 anos","","52 anos","","Eliminação","",""
"023.165","ATIVIDADE PENOSA","","5 anos","","52 anos","","Eliminação","",""
"023.166","SERVIÇO EXTRAORDINÁRIO. HORAS EXTRAS","","5 anos","","52 anos","","Eliminação","",""
"023.167","UM TERÇO DE FÉRIAS. ABONO PECUNIÁRIO","","7 anos","","–","","Eliminação","",""
"023.17","DESCONTOS","","","","","","","",""
"023.171","CONTRIBUIÇÃO SINDICAL, ASSISTENCIAL E CONFEDERATIVA","","7 anos","","–","","Eliminação","",""
"023.172","CONTRIBUIÇÃO PARA O PLANO DE SEGURIDADE SOCIAL","","5 anos","","52 anos","","Eliminação","",""
"023.173","IMPOSTO DE RENDA RETIDO NA FONTE (IRRF)","","7 anos","","-","","Eliminação","",""
"023.174","PENSÃO ALIMENTÍCIA","","5 anos","","95 anos","","Eliminação","",""
"023.175","CONSIGNAÇÕES FACULTATIVAS","","Enquanto vigora a consignação","","7 anos","","Eliminação","",""
"023.18","OBRIGAÇÕES TRABALHISTAS E ESTATUTÁRIAS, ENCARGOS PATRONAIS E RECOLHIMENTOS","","","","","","","",""
"023.181","PROGRAMA DE FORMAÇÃO DO PATRIMÔNIO DO SERVIDOR PÚBLICO (PASEP). PROGRAMA DE INTEGRAÇÃO SOCIAL (PIS)","","5 anos","","5 anos","","Eliminação","",""
"023.182","FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS)","","5 anos","","52 anos","","Eliminação","",""
"023.183","CONTRIBUIÇÃO SINDICAL DO EMPREGADOR","","7 anos","","–","","Eliminação","",""
"023.184","CONTRIBUIÇÃO PARA O PLANO DE SEGURIDADE SOCIAL","","5 anos","","95 anos","","Eliminação","",""
"023.185","IMPOSTO DE RENDA","","7 anos","","–","","Eliminação","",""
"023.186","LEI DOS DOIS TERÇOS. RELAÇÃO ANUAL DE INFORMAÇÕES SOCIAIS (RAIS)","","5 anos","","5 anos","","Eliminação","",""
"023.19","OUTRAS AÇÕES REFERENTES AO PAGAMENTO DE VENCIMENTOS. REMUNERAÇÕES. SALÁRIOS. PROVENTOS","","","","","","","",""
"023.191","RETIFICAÇÃO DE PAGAMENTO","","7 anos","","–","","Eliminação","",""
"023.2","FÉRIAS","","7 anos","","–","","Eliminação","",""
"023.3","LICENÇAS","","5 anos","","52 anos","","Eliminação","",""
"023.4","AFASTAMENTOS","","5 anos","","52 anos","","Eliminação","",""
"023.5","CONCESSÕES","","5 anos","","52 anos","","Eliminação","",""
"023.6","AUXÍLIOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"023.7","REEMBOLSO DE DESPESAS. INDENIZAÇÃO","","","","","","","",""
"023.71","MUDANÇA DE DOMICÍLIO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"023.72","LOCOMOÇÃO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"023.73","RESSARCIMENTO DE PLANO DE SAÚDE","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"023.9","OUTRAS AÇÕES REFERENTES À CONCESSÃO DE DIREITOS E VANTAGENS","","","","","","","",""
"023.91","CONTRATAÇÃO DE SEGURO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"023.92","OCUPAÇÃO DE IMÓVEL FUNCIONAL","","Enquanto permanecer a ocupação","","5 anos","","Eliminação","",""
"023.93","FORNECIMENTO DE TRANSPORTE","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"024","CAPACITAÇÃO DO SERVIDOR","","","","","","Utilizar os prazos de guarda e a destinação final dos assentamentos funcionais para os documentos comprobatórios de participação.","",""
"024.01","PLANEJAMENTO DA CAPACITAÇÃO","","5 anos","","5 anos","","Guarda permanente","",""
"024.1","PROMOÇÃO DE CURSOS PELO ÓRGÃO E ENTIDADE","","","","","","","",""
"024.11","PROGRAMAÇÃO","","5 anos","","5 anos","","Guarda permanente","",""
"024.12","INSCRIÇÃO E FREQUÊNCIA","","5 anos","","–","","Eliminação","",""
"024.13","AVALIAÇÃO E RESULTADOS","","5 anos","","5 anos","","Guarda permanente","",""
"024.2","PARTICIPAÇÃO EM CURSOS PROMOVIDOS POR OUTROS ÓRGÃOS E ENTIDADES","","5 anos","","–","","Eliminação","",""
"024.3","PROMOÇÃO DE ESTÁGIOS PELO ÓRGÃO E ENTIDADE","","","","","","","",""
"024.31","PROGRAMAÇÃO","","5 anos","","5 anos","","Guarda permanente","",""
"024.32","INSCRIÇÃO E FREQUÊNCIA","","5 anos","","–","","Eliminação","",""
"024.33","AVALIAÇÃO E RESULTADOS","","5 anos","","5 anos","","Guarda permanente","",""
"024.4","PARTICIPAÇÃO EM ESTÁGIOS PROMOVIDOS POR OUTROS ÓRGÃOS E ENTIDADES","","5 anos","","–","","Eliminação","",""
"024.5","CONCESSÃO DE ESTÁGIOS E BOLSAS PARA ESTUDANTES","","","","","","","",""
"024.51","RELAÇÃO COM INSTITUIÇÕES DE ENSINO E AGENTES DE INTEGRAÇÃO","","Enquanto vigora o convênio","","2 anos","","Eliminação","",""
"024.52","PLANO DE ESTÁGIO","","Enquanto o estudante mantiver o vínculo com a administração pública","","2 anos","","Eliminação","",""
"025","PROMOÇÃO DA SAÚDE E BEM-ESTAR","","","","","","","",""
"025.1","ASSISTÊNCIA À SAÚDE","","","","","","","",""
"025.11","CELEBRAÇÃO DE CONVÊNIOS DE PLANOS DE SAÚDE","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"025.12","ORIENTAÇÃO MÉDICA, NUTRICIONAL, ODONTOLÓGICA E PSICOLÓGICA","","2 anos","","–","","Eliminação","",""
"025.13","PROMOÇÃO DE ATIVIDADE FÍSICA","","2 anos","","–","","Eliminação","",""
"025.14","PRONTUÁRIO MÉDICO E ODONTOLÓGICO","","5 anos","","95 anos","","Eliminação","",""
"025.2","PRESERVAÇÃO DA SAÚDE E HIGIENE","","","","","","","",""
"025.21","CONTROLE DE RISCOS AMBIENTAIS","","5 anos","","15 anos","","Guarda permanente","",""
"025.22","OFERTA DE SERVIÇOS DE REFEITÓRIOS, CANTINAS E COPAS","","Enquanto vigora","","2 anos","","Eliminação","",""
"025.3","SEGURANÇA DO TRABALHO. PREVENÇÃO DE ACIDENTES DE TRABALHO","","","","","","","",""
"025.31","CONSTITUIÇÃO DA COMISSÃO INTERNA DE PREVENÇÃO DE ACIDENTES (CIPA)","","","","","","","",""
"025.311","COMPOSIÇÃO E ATUAÇÃO","","5 anos","","5 anos","","Guarda permanente","",""
"025.312","OPERACIONALIZAÇÃO DE REUNIÕES","","2 anos","","–","","Eliminação","",""
"025.32","REGISTRO DE OCORRÊNCIAS DE ACIDENTES DE TRABALHO","","5 anos","","52 anos","","Eliminação","",""
"026","CONCESSÃO DE BENEFÍCIOS DE SEGURIDADE E PREVIDÊNCIA SOCIAL","","","","","","","",""
"026.01","ADESÃO À PREVIDÊNCIA COMPLEMENTAR","","5 anos","","52 anos","","Eliminação","",""
"026.02","CONTAGEM E AVERBAÇÃO DE TEMPO DE SERVIÇO","","Até a homologação da aposentadoria","","5 anos","","Eliminação","",""
"026.1","SALÁRIO FAMÍLIA","","5 anos","","19 anos*","","Eliminação","","* ou 95 anos, nos casos previstos na legislação específica para as concessões especiais"
"026.2","SALÁRIO MATERNIDADE","","7 anos","","–","","Eliminação","",""
"026.3","AUXÍLIOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** 10 anos a contar da apresentação do Relatório de Gestão"
"026.4","LICENÇAS","","5 anos","","52 anos","","Eliminação","",""
"026.5","APOSENTADORIA","","","","","","","",""
"026.51","INVALIDEZ PERMANENTE","","5 anos","","95 anos","","Eliminação","",""
"026.52","COMPULSÓRIA","","5 anos","","95 anos","","Eliminação","",""
"026.53","VOLUNTÁRIA","","5 anos","","95 anos","","Eliminação","",""
"026.54","ESPECIAL","","5 anos","","95 anos","","Eliminação","",""
"026.6","PENSÃO POR MORTE","","","","","","","",""
"026.61","PENSÃO PROVISÓRIA. PENSÃO TEMPORÁRIA","","Enquanto vigora","","5 anos","","Eliminação","",""
"026.62","PENSÃO VITALÍCIA","","5 anos","","95 anos","","Eliminação","",""
"026.9","OUTRAS AÇÕES REFERENTES À CONCESSÃO DE BENEFÍCIOS DE SEGURIDADE E PREVIDÊNCIA SOCIAL","","","","","","","",""
"026.91","AUXÍLIO RECLUSÃO","","5 anos","","52 anos","","Eliminação","",""
"027","APURAÇÃO DE RESPONSABILIDADE DISCIPLINAR","","","","","","","",""
"027.1","AVERIGUAÇÃO DE DENÚNCIAS","","5 anos","","95 anos","","Guarda permanente","",""
"027.2","APLICAÇÃO DE PENALIDADES DISCIPLINARES","","5 anos","","95 anos","","Guarda permanente","",""
"027.3","AJUSTAMENTO DE CONDUTA","","5 anos","","52 anos","","Eliminação","",""
"028","CUMPRIMENTO DE MISSÕES E VIAGENS A SERVIÇO","","","","","","","",""
"028.1","NO PAÍS","","","","","","","",""
"028.11","COM ÔNUS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"028.12","COM ÔNUS LIMITADO","","7 anos","","–","","Eliminação","",""
"028.2","NO EXTERIOR","","","","","","","",""
"028.21","COM ÔNUS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"028.22","COM ÔNUS LIMITADO","","7 anos","","–","","Eliminação","",""
"028.23","SEM ÔNUS","","7 anos","","–","","Eliminação","",""
