"codigo","descritor_do_codigo","fase_corrente_ano","fase_corrente_desc","fase_intermediaria_ano","fase_intermediaria_desc","destinacao_final_ano","destinacao_final_desc","observacoes_ano","observacoes_desc"
"029","OUTRAS AÇÕES REFERENTES À GESTÃO DE PESSOAS","","","","","","","",""
"029.1","CONTROLE DE ASSIDUIDADE E PONTUALIDADE","","","","","","","",""
"029.11","CONTROLE DE FREQUÊNCIA","","5 anos","","52 anos","","Eliminação","",""
"029.12","DEFINIÇÃO DO HORÁRIO DE EXPEDIENTE","","2 anos","","–","","Eliminação","",""
"029.2","INSTITUIÇÃO DO PROGRAMA DE CRECHE","","","","","","","",""
"029.21","PUBLICAÇÃO E DIVULGAÇÃO","","5 anos","","5 anos","","Guarda permanente","",""
"029.22","INSCRIÇÃO, SELEÇÃO, ADMISSÃO E RENOVAÇÃO","","Enquanto vigora o vínculo do beneficiário","","10 anos","","Eliminação","",""
"029.23","ACOMPANHAMENTO PEDAGÓGICO, MÉDICO E DO DESENVOLVIMENTO DA CRIANÇA","","Enquanto vigora o vínculo do beneficiário","","10 anos","","Eliminação","",""
"029.24","AVALIAÇÃO DO PROGRAMA","","5 anos","","5 anos","","Guarda permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"029.3","INCENTIVOS FUNCIONAIS","","5 anos","","5 anos","","Guarda permanente","",""
"029.4","DELEGAÇÃO DE COMPETÊNCIA E PROCURAÇÃO","","Enquanto vigora","","5 anos","","Eliminação","","Utilizar  os  prazos  dos  documentos  financeiros  para  os documentos referentes aos ordenadores de despesas."
"029.5","CONTRATAÇÃO DE SERVIÇOS PROFISSIONAIS TRANSITÓRIOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão Eliminar, após 2 anos, os documentos referentes às con- tratações não efetivadas."
"029.6","PETIÇÃO DE DIREITOS","","Até a solução da interposição de pedido de reconsideração ou de recurso","","5 anos","","Guarda permanente","",""
"030","GESTÃO DE MATERIAIS","","","","","","","",""
"030.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"030.02","CADASTRAMENTO DE FORNECEDORES E DE PRESTADORES DE SERVIÇOS","","5 anos","","–","","Eliminação","",""
"030.03","ESPECIFICAÇÃO, PADRONIZAÇÃO, CODIFICAÇÃO, PREVISÃO, IDENTIFICAÇÃO E CLASSIFICAÇÃO","","2 anos","","–","","Eliminação","",""
"031","AQUISIÇÃO E INCORPORAÇÃO","","","","","","Eliminar, após 2 anos, os documentos referentes às ações de aquisição e incorporação não efetivadas.","",""
"031.1","COMPRA","","","","","","","",""
"031.11","MATERIAL PERMANENTE","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"031.12","MATERIAL DE CONSUMO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"031.2","DOAÇÃO E PERMUTA","","","","","","","",""
"031.21","MATERIAL PERMANENTE","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"031.22","MATERIAL DE CONSUMO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"031.3","DAÇÃO. ADJUDICAÇÃO","","","","","","","",""
"031.31","MATERIAL PERMANENTE","","Até a quitação total da dívida","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"031.32","MATERIAL DE CONSUMO","","Até a quitação total da dívida","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"031.4","CESSÃO, COMODATO E EMPRÉSTIMO","","","","","","","",""
"031.41","MATERIAL PERMANENTE","","Enquanto vigora","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"031.42","MATERIAL DE CONSUMO","","Enquanto vigora","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"031.5","LOCAÇÃO. ARRENDAMENTO MERCANTIL (LEASING)","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"032","MOVIMENTAÇÃO DE MATERIAL","","","","","","","",""
"032.01","TERMOS DE RESPONSABILIDADE. CAUTELA","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"032.1","CONTROLE DE ESTOQUE","","2 anos","","–","","Eliminação","","Observar os prazos da legislação em vigor para os documentos referentes a produtos e insumos químicos e outras substâncias entorpecentes."
"032.2","AUTORIZAÇÃO DE ENTRADA E SAÍDA DE MATERIAL","","1 ano","","–","","Eliminação","","Observar os prazos da legislação em vigor para os documentos referentes a produtos e insumos químicos e outras substâncias entorpecentes."
"032.3","RECOLHIMENTO DE MATERIAL INSERVÍVEL AO DEPÓSITO","","2 anos","","–","","Eliminação","","Observar os prazos da legislação em vigor para os documentos referentes a produtos e insumos químicos e outras substâncias entorpecentes."
"032.4","TOMBAMENTO","","Até a alienação","","5 anos","","Guarda permanente","",""
"033","ALIENAÇÃO E BAIXA","","","","","","Eliminar, após 2 anos, os documentos referentes às ações de alienação e baixa não efetivadas.","",""
"033.1","VENDA","","","","","","","",""
"033.11","MATERIAL PERMANENTE","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"033.12","MATERIAL DE CONSUMO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"033.2","DOAÇÃO E PERMUTA","","","","","","","",""
"033.21","MATERIAL PERMANENTE","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.22","MATERIAL DE CONSUMO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.3","DAÇÃO. ADJUDICAÇÃO","","","","","","","",""
"033.31","MATERIAL PERMANENTE","","Até a quitação total da dívida","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.32","MATERIAL DE CONSUMO","","Até a quitação total da dívida","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.4","DESFAZIMENTO","","","","","","","",""
"033.41","MATERIAL PERMANENTE","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.42","MATERIAL DE CONSUMO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.5","CESSÃO, COMODATO E EMPRÉSTIMO","","","","","","","",""
"033.51","MATERIAL PERMANENTE","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.52","MATERIAL DE CONSUMO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"033.6","EXTRAVIO, ROUBO, DESAPARECIMENTO, FURTO E AVARIA","","Até a conclusão do caso","","5 anos","","Eliminação","","Observar os prazos da legislação em vigor para os documentos referentes a produtos e insumos químicos e outras substâncias entorpecentes."
"034","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão Eliminar, após 2 anos, os documentos referentes às con- tratações não efetivadas."
"035","EXECUÇÃO DE SERVIÇOS DE INSTALAÇÃO E MANUTENÇÃO","","1 ano","","–","","Eliminação","",""
"036","CONTROLE DE MATERIAIS","","","","","","","",""
"036.01","COMISSÃO DE INVENTÁRIO","","Enquanto vigora","","–","","Guarda permanente","",""
"036.1","INVENTÁRIO DE MATERIAL PERMANENTE","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"036.2","INVENTÁRIO DE MATERIAL DE CONSUMO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"039","OUTRAS AÇÕES REFERENTES À GESTÃO DE MATERIAIS","","","","","","","",""
"039.1","RACIONALIZAÇÃO DO USO DE MATERIAL","","","","","","","",""
"039.11","CRIAÇÃO E ATUAÇÃO DE GRUPOS DE TRABALHO","","4 anos","","5 anos","","Guarda permanente","",""
"039.12","OPERACIONALIZAÇÃO DE REUNIÕES","","2 anos","","–","","Eliminação","",""
"039.2","EMPRÉSTIMO E DEVOLUÇÃO DE MATERIAL PERMANENTE","","Enquanto vigora","","1 ano","","Eliminação","",""
"040","GESTÃO DE BENS PATRIMONIAIS E DE SERVIÇOS","","","","","","","",""
"040.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"041","AQUISIÇÃO E INCORPORAÇÃO","","","","","","Eliminar, após 2 anos, os documentos referentes às ações de aquisição e incorporação não efetivadas.","",""
"041.1","COMPRA","","","","","","","",""
"041.11","BENS IMÓVEIS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"041.12","VEÍCULOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"041.13","BENS SEMOVENTES","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"041.2","DOAÇÃO E PERMUTA","","","","","","","",""
"041.21","BENS IMÓVEIS","","4 anos","","5 ano","","Guarda permanente","",""
"041.22","VEÍCULOS","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"041.23","BENS SEMOVENTES","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"041.3","DAÇÃO. ADJUDICAÇÃO","","","","","","","",""
"041.31","BENS IMÓVEIS","","Até a quitação total da dívida","","5 anos","","Guarda permanente","",""
"041.32","VEÍCULOS","","Até a quitação total da dívida","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"041.4","PROCRIAÇÃO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"041.5","CESSÃO E COMODATO","","","","","","","",""
"041.51","BENS IMÓVEIS","","4 anos","","5 anos","","Guarda permanente","",""
"041.52","VEÍCULOS","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"041.53","BENS SEMOVENTES","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"041.6","LOCAÇÃO. ARRENDAMENTO MERCANTIL (LEASING). SUBLOCAÇÃO","","","","","","","",""
"041.61","BENS IMÓVEIS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"041.62","VEÍCULOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"042","ALIENAÇÃO","","","","","","Eliminar, após 2 anos, os documentos referentes às ações de alienação não efetivadas.","",""
"042.1","VENDA","","","","","","","",""
"042.11","BENS IMÓVEIS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"042.12","VEÍCULOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"042.13","BENS SEMOVENTES","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"042.2","DOAÇÃO E PERMUTA","","","","","","","",""
"042.21","BENS IMÓVEIS","","4 anos","","5 anos","","Guarda permanente","",""
"042.22","VEÍCULOS","","4 anos","","5 anos","","Eliminação","","Utilizar prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"042.23","BENS SEMOVENTES","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos os dos documentos financeiros para as transações que envolvam pagamento de despesas."
"042.3","DAÇÃO. ADJUDICAÇÃO","","","","","","","",""
"042.31","BENS IMÓVEIS","","Até a quitação total da dívida","","5 anos","","Guarda permanente","",""
"042.32","VEÍCULOS","","Até a quitação total da dívida","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"042.4","DESAPROPRIAÇÃO E DESMEMBRAMENTO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"042.5","CESSÃO E COMODATO","","","","","","","",""
"042.51","BENS IMÓVEIS","","4 anos","","5 anos","","Guarda permanente","",""
"042.52","VEÍCULOS","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"042.53","BENS SEMOVENTES","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"042.6","LOCAÇÃO. ARRENDAMENTO. SUBLOCAÇÃO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"042.7","BAIXA. DESFAZIMENTO","","","","","","","",""
"042.71","VEÍCULOS","","4 anos","","5 anos","","Eliminação","",""
"042.72","BENS SEMOVENTES","","4 anos","","5 anos","","Eliminação","",""
"043","ADMINISTRAÇÃO CONDOMINIAL","","","","","","","",""
"043.1","REGISTRO DOS IMÓVEIS","","3 anos","","5 anos","","Guarda permanente","",""
"043.2","SERVIÇOS DE CONDOMÍNIO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"043.3","REINTEGRAÇÃO DE POSSE. REIVINDICAÇÃO DE DOMÍNIO. DESPEJO DE PERMISSIONÁRIO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"043.4","TOMBAMENTO","","Até a alienação","","5 anos","","Guarda permanente","",""
"043.5","INSPEÇÃO PATRIMONIAL","","3 anos","","5 anos","","Guarda permanente","",""
"043.6","MUDANÇA","","","","","","","",""
"043.61","PARA OUTROS IMÓVEIS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"043.62","DENTRO DO MESMO IMÓVEL","","1 ano","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"043.7","USO DE DEPENDÊNCIAS","","2 anos","","–","","Eliminação","",""
"044","ADMINISTRAÇÃO DA FROTA DE VEÍCULOS","","","","","","","",""
"044.1","CADASTRAMENTO, LICENCIAMENTO E EMPLACAMENTO","","Até a alienação","","5 anos","","Eliminação","",""
"044.2","TOMBAMENTO","","Até a alienação","","5 anos","","Guarda permanente","",""
"044.3","OCORRÊNCIA DE SINISTROS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão Observar para os acidentes com vítimas, o prazo total de guarda de 20 anos, após a conclusão do caso."
"044.4","CONTROLE DE USO","","2 anos","","–","","Eliminação","",""
"044.5","ESTACIONAMENTO. GARAGEM","","2 anos","","-","","Eliminação","",""
"044.6","NOTIFICAÇÕES DE INFRAÇÕES E MULTAS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS","","","","","","Eliminar, após 2 anos, os documentos referentes às contratações não efetivadas.","",""
"045.01","SEGURO PATRIMONIAL","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.1","FORNECIMENTO DE SERVIÇOS PÚBLICOS ESSENCIAIS","","","","","","","",""
"045.11","ÁGUA E ESGOTAMENTO SANITÁRIO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.12","GÁS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.13","ENERGIA ELÉTRICA","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.2","MANUTENÇÃO E REPARO DAS INSTALAÇÕES","","","","","","","",""
"045.21","ELEVADORES","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.22","SISTEMAS CENTRAIS DE AR CONDICIONADO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.23","SUBESTAÇÕES ELÉTRICAS E GERADORES","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.24","CONSERVAÇÃO PREDIAL","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.3","EXECUÇÃO DE OBRAS","","","","","","","",""
"045.31","CONSTRUÇÃO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"045.32","REFORMA. RECUPERAÇÃO. RESTAURAÇÃO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
